,0
137,['In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd']
138,['Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb']
139,"['Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb'
 'Dy']"
140,"['Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb'
 'Dy' 'Ho']"
141,['Sb' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho']
142,"['Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy'
 'Ho']"
143,"['Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho'
 'Er']"
144,"['Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho'
 'Er' 'Tm']"
145,"['Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho'
 'Er' 'Tm']"
146,"['I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Er'
 'Tm']"
147,"['I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho'
 'Er' 'Tm']"
148,"['Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Er'
 'Tm']"
149,"['Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Er'
 'Tm' 'Yb']"
150,"['Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Er'
 'Tm' 'Yb' 'Lu']"
151,"['Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Er'
 'Tm' 'Yb' 'Lu' 'Hf']"
152,"['Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm'
 'Yb' 'Lu']"
153,"['Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Yb'
 'Lu' 'Hf']"
154,"['Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Eu' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Yb' 'Lu'
 'Hf']"
155,"['La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Yb' 'Lu'
 'Hf' 'Ta']"
156,"['La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Tb' 'Ho' 'Er' 'Tm' 'Yb' 'Lu' 'Hf'
 'Ta']"
157,"['La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Yb' 'Lu'
 'Hf' 'Ta' 'W']"
158,['Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Tb' 'Ho' 'Er' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W']
159,"['Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Dy' 'Ho' 'Er' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W'
 'Re']"
160,['Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Tb' 'Ho' 'Er' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re']
161,"['Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Ho' 'Er' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W'
 'Re' 'Os']"
162,['Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Ho' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os']
163,"['Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Ho' 'Er' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re'
 'Os']"
164,['Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Ho' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir']
165,"['Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Er' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os'
 'Ir' 'Pt']"
166,"['Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir'
 'Pt']"
167,"['Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir'
 'Pt']"
168,['Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt']
169,['Eu' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt']
170,['Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg']
171,"['Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au'
 'Hg']"
172,"['Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au'
 'Hg']"
173,['Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg']
174,['Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg']
175,['Dy' 'Ho' 'Er' 'Tm' 'Yb' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg']
176,['Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl']
177,['Ho' 'Er' 'Tm' 'Yb' 'Lu' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl']
178,['Ho' 'Er' 'Tm' 'Yb' 'Lu' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb']
179,['Er' 'Tm' 'Yb' 'Lu' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb']
180,['Er' 'Tm' 'Yb' 'Lu' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb']
181,['Tm' 'Yb' 'Lu' 'Hf' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb']
182,['Yb' 'Lu' 'Hf' 'Ta' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb']
183,['Yb' 'Lu' 'Hf' 'Ta' 'W' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb']
184,['Yb' 'Lu' 'Hf' 'Ta' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi']
185,['Yb' 'Lu' 'Hf' 'Ta' 'W' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi']
186,['Lu' 'Hf' 'Ta' 'Re' 'Os' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po']
187,['Lu' 'Hf' 'Ta' 'W' 'Re' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po']
188,['Lu' 'Hf' 'Ta' 'W' 'Re' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po']
189,['Hf' 'Ta' 'W' 'Re' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po']
190,['Hf' 'Ta' 'W' 'Re' 'Ir' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po']
191,['Ta' 'Re' 'Os' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At']
192,['Ta' 'W' 'Re' 'Ir' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At']
193,['Ta' 'W' 'Re' 'Os' 'Pt' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn']
194,['Ta' 'W' 'Re' 'Os' 'Ir' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn']
195,['W' 'Re' 'Os' 'Ir' 'Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn']
196,['W' 'Re' 'Os' 'Ir' 'Au' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn']
197,['W' 'Re' 'Os' 'Ir' 'Pt' 'Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr']
198,['Re' 'Os' 'Ir' 'Au' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr']
199,['Re' 'Os' 'Ir' 'Pt' 'Au' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr']
200,['Os' 'Ir' 'Pt' 'Au' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr']
201,['Os' 'Ir' 'Pt' 'Au' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra']
